Study_ID,PFAS_focus,PFAS_focus_comments,PFAS_one_many,Year_sampling_start,Year_sampling_end,Year_sampling_comments,Species_one_many,Species_comment,Habitat,Habitat_comments,Sex,Sex_Comments,Developmental_stage,Developmental_stage_comments,Functional_aspects,Functional_aspects_comments,Biogeographical_region,Biogeographical_region_comments,Tissue_one_many,Tissue_one_many_comments,Study_comment,Checked,
P_0357,yes,,Multiple,2018,2018,,multiple,,mixed,,unknown,,Juvenile/adult,,yes,Bioaccumulation,polar,,multiple,,,CV,
P_0013,yes,,Multiple,unknown,unknown,,multiple,,Estuarine,,unknown,,Juvenile/adult,,yes,Bioaccumulation,tropical,,multiple,,,CV,
P_0018,yes,,Multiple,1993,2008,,multiple,,Freshwater,,unknown,,Juvenile/adult,,yes,Bioaccumulation,Subtropical,,multiple,,,CV,
P_0040,yes,,Multiple,2013,2015,,multiple,,Mixed,,unknown,,Juvenile/adult,,yes,Bioconcentration profiles,Mixed,,multiple,,,CV,
P_0020,yes,,Multiple,2006,2006,,multiple,,Freshwater,,unknown,,Juvenile/adult,,no,,Temperate,,multiple,,,CV,
P_0038,yes,,Multiple,2016,2016,,one,,,,unknown,,Eggs/early development,,yes,Within? and among?clutch variation of PFAS concentration,Temperate,,one,,,CV,
P_0202,yes,,Multiple,2016,2016,,multiple,,Freshwater,,unknown,,Juvenile/adult,,yes,Point source characterization and estimation of bioaccumulation factors,Temperate,,one,,,CV,
P_0203,yes,,Multiple,2017,2017,,multiple,,mixed,,unknown,,Juvenile/adult,,yes,Organofluorine mass balance,temperate,,one,,,CV,
P_0220,yes,,Multiple,2018,2018,,multiple,,marine,,unknown,,Juvenile/adult,,yes,"Bioaccumulation, spatial distribution",temperate,,one,,,CV,
P_0236,yes,,Multiple,2007,2009,,multiple,,Terrestrial Inland,,unknown,,Juvenile/adult,,yes,Biomagnification,polar,,multiple,,,CV,
P_0237,no,,Multiple,2016,2016,,one,,marine,,unknown,,Juvenile/adult,,no,,Subtropical,,one,,,CV,
P_0244,yes,,Multiple,2012,2013,,multiple,,estuarine,,unknown,,Juvenile/adult,,yes,Temporal variations,temperate,,one,,,CV,
P_0254,yes,,Multiple,2015,2015,,multiple,,marine,,unknown,,Juvenile/adult,,,,Subtropical,,one,,,CV,
P_0263,yes,,Multiple,2004,2009,,one,,Terrestrial Inland,,male,,Juvenile/adult,,yes,"Relationship between PFAS concentration and age, body condition, and geographical area",temperate,,one,,,CV,
P_0271,yes,,Multiple,2013,2013,,multiple,,Terrestrial Inland,,unknown,,Juvenile/adult,,no,,temperate,,one,,,CV,
P_0275,yes,,Multiple,1972,2011,,one,,freshwater,,mixed,,Juvenile/adult,,yes,Temporal trends and spatial differences,temperate,,one,,,CV,
P_0282,yes,,Multiple,2013,2014,,multiple,not very clear,freshwater,,unknown,,Juvenile/adult,,yes,Ecological risk assessment,temperate,,one,,Excluded,CV,
P_0303,yes,,Multiple,2012,2012,,one,,freshwater,,mixed,,Juvenile/adult,,yes,"Evaluating beavers as potential POPs bioindicators, bioaccumulation assessment, developing analytical method",temperate,,multiple,,,CV,
P_0308,yes,,Multiple,2015,2017,,one,,estuarine,,unknown,,Juvenile/adult,,yes,Temporal and spatial Trends in PFAS concentrations,Subtropical,,one,,,CV,
P_0310,yes,,Multiple,unknown,unknown,,one,,estuarine,,unknown,,Juvenile/adult,,yes,Metabolomic profiles in relation to PFAS concentrations,Subtropical,,one,,,CV,
P_0318,yes,,one,2001,2001,,multiple,,mixed,,unknown,,Juvenile/adult,,yes,Distribution patterns of PFOS,temperate,,multiple,,,CV,
P_0330,no,,Multiple,2002,2002,,one,,Terrestrial Inland,,mixed,,Juvenile/adult,,yes,"Toxicokinetics, maternal transfer and hepatic sequestration of PFAS",tropical,,one,,,CV,
P_0332,no,,Multiple,unknown,unknown,,multiple,,freshwater,,unknown,,Juvenile/adult,,yes,Spatial bioaccumulation,temperate,,one,,,CV,
P_0348,yes,,Multiple,2009,2009,,one,,Terrestrial Inland,,unknown,,Juvenile/adult,,yes,"Evaluation of migration pathways of PFAS, investigation on partitioning of PFAS from soil to plants into earthworms",temperate,,one,,,CV,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
P_0388,no,,Multiple,2016,2018,,one,,Terrestrial Inland,,unknown,,mixed,,yes,"Associations with dietary, biological and ecological factors",temperate,,multiple,,,CV,
P_0390,no,,Multiple,2017,2017,,multiple,,freshwater,,mixed,,Juvenile/adult,,yes,Spatial profiles of PFAS,tropical,,multiple,,,CV,
P_0392,yes,,Multiple,2015,2015,,one,,freshwater,,male,,Juvenile/adult,,yes,Difference in PFASs levels between raw and cooked fish,temperate,,one,,,CV,
P_0393,no,,Multiple,2016,2017,,one,,Terrestrial Inland,,unknown,,Mixed,,yes,Effects of chemical contaminants in birds,temperate,,multiple,,,CV,
P_0394,no,,Multiple,2018,2019,,multiple,,estuarine,,unknown,,Juvenile/adult,,yes,Evaluating the impact of coastal urbanization on pollutant concentrations in marine animals.,subtropical,,one,,,CV,
P_0398,yes,,Multiple,2015,2015,,multiple,,freshwater,,unknown,,Juvenile/adult,,yes,Trophodynamics of PFAS in the food web,temperate,,multiple,,,CV,
P_0399,yes,,Multiple,2016,2016,,multiple,,estuarine,,unknown,,Juvenile/adult,,yes,Spatial distribution of PFASs in the aquatic food webs,subtropical,,multiple,,,CV,
P_0400,yes,,Multiple,2010,2010,,multiple,,terrestrial coastal,,unknown,,Eggs/early development,,no,,tropical,,one,,,CV,
P_0401,no,,Multiple,2017,2018,,one,,Terrestrial Inland,,mixed,,Juvenile/adult,,yes,Spatio-temporal variation,temperate,,multiple,,,CV,
P_0403,yes,,Multiple,unknown,unknown,,one,,freshwater,,unknown,,Juvenile/adult,,yes,Tissue distribution and bioaccumulation of PFOS,temperate,,multiple,,,CV,
P_0404,no,,Multiple,2018,2018,,one,,freshwater,,mixed,,Juvenile/adult,,yes,bioaccumulation and sexually dimorphic growth-dependent accumulation of POPs,temperate,,one,,,CV,
P_0405,yes,,Multiple,2012,2013,,multiple,,marine,,unknown,,Juvenile/adult,,yes,Trophic transfer of PFAS,polar,,multiple,,,CV,
P_0406,yes,,Multiple,2003,2015,,one,,marine,,mixed,,Juvenile/adult,,yes,Temporal trends,subtropical,,one,,,CV,
P_0407,yes,,Multiple,2011,2011,,multiple,,freshwater,,mixed,,Juvenile/adult,,yes,Tissue distribution of PFAS,temperate,,multiple,,,CV,
P_0408,yes,,Multiple,2017,2018,,multiple,,Terrestrial Inland,,unknown,,Juvenile/adult,,yes,Biomagnification Potential and comparison between skiing and non-skiing areas,temperate,,multiple,,,CV,
P_0409,yes,,Multiple,1968,2015,,one,,Terrestrial coastal,,unknown,,Juvenile/adult,,yes,"Spatiotemporal trends, feasibility of archived feathers in
reconstructing temporal trends of PFAS and",mixed,,one,,,CV,
P_0410,no,,Multiple,2015,2016,,one,,Terrestrial Inland,,unknown,,Juvenile/adult,,yes,Correlation between PFAS concentration in different tissues,Mixed,,multiple,,,CV,
P_0411,yes,,Multiple,2017,2017,,multiple,,freshwater,,unknown,,Juvenile/adult,,yes,Bioaccumulation of PFAS in different biological tissues,temperate,,multiple,,,CV,
P_0412,no,,Multiple,2017,2017,,multiple,,marine,,unknown,,Juvenile/adult,,no,,subtropical,,multiple,,,CV,
P_0413,no,,Multiple,2012,2013,,multiple,,marine,,unknown,,Juvenile/adult,,yes,Environmental risk assessment,temperate,,one,,,CV,
P_0414,yes,,Multiple,2013,2017,,multiple,,marine,,unknown,,Juvenile/adult,,yes,Spatial distribution and temporal profile shifts,temperate,,one,,,CV,
P_0415,no,,Multiple,2016,2016,,one,,terrestrial coastal,,unknown,,Eggs/early development,,yes,Potential effect of migration strategy on PFAS occurrence in bird eggs,polar,,one,,,CV,
P_0416,yes,,Multiple,unknown,unknown,,multiple,,estuarine,,unknown,,Juvenile/adult,,yes,Effects of cooking methods on PFAS concentrations,subtropical,,one,,,CV,
P_0417,yes,,Multiple,2010,2013,,one,,Terrestrial Inland,,mixed,,Juvenile/adult,,yes,comparison of PFAS concentrations in birds with human PFAS concentrations and comparison to previously calculated avian serum toxicity reference values,mixed,,one,,,CV,
P_0418,yes,,Multiple,2015,2017,,one,,marine,,unknown,,Juvenile/adult,,no,,mixed,,one,,,CV,
P_0419,yes,,Multiple,2014,2014,,multiple,,estuarine,,unknown,,Juvenile/adult,,yes,Dietary exposure and risk assessment in humans and dolphins,subtropical,,multiple,,,CV,
P_0452,yes,,Multiple,2015,2015,,one,,freshwater,,mixed,,Juvenile/adult,,yes,Bioaccumulation and tissue distribution,subtropical,,multiple,,,CV,
P_0453,yes,,Multiple,2013,2013,,multiple,,terrestrial coastal,,unknown,,Juvenile/adult,,yes,Development and validation of a fast and rugged method for PFAS analysis,polar,,one,,,CV,
P_0455,yes,,Multiple,1986,2013,,multiple,,marine,,unknown,,Juvenile/adult,,yes,Temporal trends and bioaccumulation modeling,polar,,multiple,,,CV,
P_0456,yes,,Multiple,2010,2014,,multiple,,marine,,unknown,,Juvenile/adult,,yes,"Spatial and temporal variations in the Bohai Sea, and trophic transfer of PFAS",temperate,,multiple,,,CV,
P_0457,no,,Multiple,2010,2014,,one,,Terrestrial Inland,,unknown,,Juvenile/adult,,yes,Relationship between contaminants in sediment and tree swallow diet and nestling carcasses,temperate,,multiple,,,CV,
P_0459,no,,Multiple,2010,2015,,one,,freshwater,,mixed,,Juvenile/adult,,yes,Correlations between intersex and molecular biomarkers and anthropogenic pollutants,temperate,,one,,,CV,
P_0420,no,,Multiple,2010,2010,,multiple,,freshwater,,unknown,,Juvenile/adult,,yes,"Relations on the presence of contaminants to fish species, their position in the food web and their theoretical diet",mixed,,one,,,CV,
P_0460,yes,,Multiple,2013,2013,,one,,marine,,female,,Juvenile/adult,,no,,subtropical,,multiple,,,CV,
P_0461,yes,,Multiple,2014,2014,,multiple,,freshwater,,unknown,,Juvenile/adult,,yes,"Spatial distribution of PFAS, bioconcentration
behaviour of individual PFAS, human health risk",tropical,,one,,,CV,
P_0462,no,,Multiple,2012,2012,,one,,marine,,unknown,,Juvenile/adult,,yes,Bioaccumulation and human exposure of PFAS by tuna consumption,subtropical,,one,,,CV,
P_0463,no,,Multiple,unknown,unknown,,one,,marine,,mixed,,Juvenile/adult,,yes,Correlation between body contamination and biochemical responses of stress in sharks,subtropical,,multiple,,,CV,
P_0466,yes,,Multiple,2010,2010,,multiple,,freshwater,,unknown,,Juvenile/adult,,yes,Relationship between PFAS in fish and water physical parameters,subtropical,,one,,,CV,
P_0467,no,,Multiple,2008,2012,,multiple,,marine,,unknown,,Juvenile/adult,,yes,Human exposure assessment,polar,,multiple,,,CV,
P_0468,no,,Multiple,1987,2007,,one,,marine,,male,,Juvenile/adult,,yes,"correlations among different POPs classes and vitamins, temporal trends, a comparison among the legacy POPs, recently phased out/current-use POPs",polar,,multiple,,,CV,
P_0469,yes,,Multiple,unknown,unknown,,multiple,,freshwater,,unknown,,Juvenile/adult,,yes,Identification of PFAS sources and determination of bioconcentration and bioaccumulation,Mixed,,one,,,CV,
P_0470,yes,,Multiple,2012,2012,,one,,Terrestrial Inland,,mixed,,Juvenile/adult,,yes,"Developing analytical method, assessment of beavers as biomonitors for environmental pollution",temperate,,multiple,,,CV,
P_0471,yes,,Multiple,2014,2014,,one,,freshwater,,mixed,,Juvenile/adult,,yes,Human dietary exposure through fish consumption,temperate,,one,,,CV,
P_0472,yes,,Multiple,2011,2011,,multiple,,freshwater,,unknown,,Juvenile/adult,,yes,abandoned airfield as potential PFAS source,temperate,,one,,,,
P_0473,yes,,Multiple,2011,2011,,multiple,,marine,,unknown,,Juvenile/adult,,no,,temperate,,one,,,,
P_0474,yes,,Multiple,2013,2013,,multiple,,freshwater,,unknown,,mixed,,yes,avreage daily intake and hazard ratio,temperate,,multiple,,,,
P_0475,no,,Multiple,1984,2008,,one,,freshwater,,unknown,,Eggs/early development,,yes,temporal trends,temperate,,one,,,,
P_0476,no,,Multiple,1995,2009,,one,,marine,,unknown,,Juvenile/adult,,yes,temporal trends,temperate,,one,,,,
P_0477,no,,Multiple,unknown,unknown,,one,,Terrestrial Inland,,male,,Juvenile/adult,,yes,Relationship between environmental pollutants and alterations in the reproductive system,temperate,,one,,,,
P_0478,yes,the study also examines correlations between the concentration of PFCAs and other persistent organic pollutant. PFAS focus yes or not?,Multiple,2012,2013,,one,,marine,,unknown,,Juvenile/adult,,yes,assessment of contribution of sea fish consumption to human PFCA exposure,temperate,,one,,,,
P_0506,yes,,Multiple,1990,2010,,one,,terrestrial coastal,,unknown,,Eggs/early development,,yes,temporal trends,temperate,,one,,,,
P_0507,yes,,Multiple,1998,2008,,multiple,,freshwater,,mixed,,Juvenile/adult,,yes,temporal trends and tissue distribution,mixed,,multiple,,,,
P_0508,yes,,Multiple,2003,2009,,one,,freshwater,,unknown,,Juvenile/adult,,yes,temporal trends and masurement of bioaccumulation factoris,temperate,,one,,,,
P_0509,yes,,Multiple,1986,2009,,one,,Terrestrial Inland,,unknown,,Eggs/early development,,yes,temporal trends and pattern,temperate,,one,,,,
P_0510,yes,,Multiple,2008,2008,,multiple,,mixed,,unknown,,Juvenile/adult,,no,,temperate,,one,,,,
P_0511,yes,,Multiple,1974,2008,,one,,marine,,mixed,,Juvenile/adult,,yes,temporal trends and toxicological implications fro grey seals exposed by PFCs,temperate,,one,,,,
P_0512,yes,,Multiple,2005,2006,,one,,marine,,unknown,,Juvenile/adult,,yes,Temporal and Spatial Trends,Mixed,,one,,,,
P_0513,yes,,Multiple,2005,2005,,multiple,,freshwater,,unknown,,Juvenile/adult,,,Biomonitoring and environmental impact of AFFF release,temperate,,one,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Cat's extractions,,,,,,,,,,,,,,,,,,,,,,
P_0358,Yes,,Multiple,2019,2019,,one,,Terrestrial coastal,,unknown,,Eggs/early development,,yes,PFAS conc in relation to urban proximity of breeding location,Subtropical,,one,,,LR,
P_0359,Yes,,Multiple,2008,2020,,one,,Marine,,mixed,,Juvenile/adult,,yes,Investigating the role of bottlenose dolphins as sentinels for the region's pollutant levels,Subtropical,,one,,,LR,
P_0361,Yes,,Multiple,2018,2018,,one,,freshwater,,unknown,,Juvenile/adult,,yes,Fluorine mass balance analysis,Temperate,,one,,,LR,
P_0362,Yes,,Multiple,2004,2017,,one,,Terrestrial Inland,,mixed,,Juvenile/adult,,yes,Bioaccumulation and temporal trends,Temperate,,one,,,LR,
P_0363,,,,,,,,,,,,,,,,,,,,,Excluded,LR,
P_0364,Yes,,Multiple,2017,2020,,multiple,,Marine,,unknown,,Juvenile/adult,,no,,Subtropical,,one,,,LR,
P_0365,Yes,,Multiple,2020,2020,,multiple,,Terrestrial Inland,,unknown,,Juvenile/adult,,yes,Assessment of potential of ticks as novel sentinel for assessing environmental PFAS burdens,Mixed,,one,,,LR,
P_0369,Yes,,Multiple,2018,2018,,multiple,,Marine,,unknown,,Juvenile/adult,,no,,Subtropical,,multiple,,,LR,
P_0370,Yes,,Multiple,2017,2018,,multiple,,Mixed,,unknown,,Juvenile/adult,,yes,Transfer of PFAS from Aquatic to terrestrial environment,Temperate,,one,,,LR,
P_0366,No,,Multiple,2013,2014,,one,,Terrestrial coastal,,mixed,,Juvenile/adult,,yes,Temporal trends and correlation of PFAS conc and body condition,Polar,,one,,,LR,
P_0371,Yes,,Multiple,2011,2013,,multiple,,Marine,,Unknown,,Mixed,,yes,"Correlation of PFAS conc with tropic level, proximity to human populations and military bases, maternal transfer to eggs & reproductive success",Tropical,,multiple,,,LR,
P_0372,Yes,,Multiple,2012,2018,,one,,Terrestrial coastal,,Unknown,,Eggs/early development,,yes,Temporal and spatial trends,Temperate,,one,,,LR,
P_0373,Yes,,Multiple,2018,2018,,one,,Freshwater,,Mixed,,Juvenile/adult,,yes,"Correlation between PFAS conc with site, sex, season and type of land use",Temperate,,one,,,LR,
P_0376,Yes,,Multiple,2016,2018,,multiple,,Terrestrial coastal,,Mixed,,Juvenile/adult,,yes,"Correlation between PFAS conc with body condition & level of thyroid hormons,",Temperate,,one,,,LR,
P_0378,No,,Multiple,2014,2015,,multiple,,Freshwater,,Unknown,,Juvenile/adult,,yes,Comparison of PFAS conc in fish and fish consumers,Temperate,,one,,,LR,
P_0379,Yes,,Multiple,2018,2018,,multiple,,Marine,,Unknown,,Juvenile/adult,,yes,"Bioaccumulation, trophic transfer and biomagnification of PFAS",Subtropical,,multiple,,,LR,
P_0380,Yes,,Multiple,2004,2018,,multiple,,Freshwater,,Unknown,,Juvenile/adult,,yes,Temporal trends,Temperate,,one,,,LR,
P_0381,Yes,,Multiple,2018,2018,,multiple,,Terrestrial inland,,Unknown,,Juvenile/adult,,yes,"Relationship between PFAs conc in ducks and that in water, sediment and soil",Temperate,,multiple,,,LR,
P_0383,Yes,,Multiple,2018,2018,,multiple,,Marine,,Unknown,,Juvenile/adult,,yes,Bioaccumulation and biomagnificaton in subtropical marine food web,Subtropical,,multiple,,,LR,
P_0385,Yes,,Multiple,2015,2015,,multiple,,Freshwater,,Unknown,,Juvenile/adult,,yes,Tissue distribution and bioaccumulation of PFAS,Subtropical,,multiple,,,LR,
P_0386,No,,Multiple,2012,2016,,multiple,,Mixed,,Unknown,,Juvenile/adult,,yes,Bioaccumulation in aquatic environment,Subtropical,,multiple,,,,
P_0387,Yes,,Multiple,2017,2017,,multiple,,Estuarine,,Unknown,,Juvenile/adult,,yes,Correlation between animal size and PFAS conc in muscle tissue,Subtropical,,multiple,,,LR,
P_0421,Yes,,Multiple,2003,2017,,one,,Mixed,,Mixed,,Juvenile/adult,,yes,"Correlations between PFAS values and physical morphology, PFAS distribution across different locations",Mixed,,one,,,LR,
P_0422,Yes,,Multiple,1989,2015,,multiple,,Terrestrial inland,,Unknown,,Juvenile/adult,,yes,"Temporal trends, accumulation patterns in dependence of environmental indicators",Temperate,,multiple,,,LR,
P_0424,Yes,,Multiple,2016,2017,,one,,Freshwater,,Unknown,,Juvenile/adult,,no,,Temperate,,one,,,LR,
P_0425,Yes,,Multiple,unknown,unknown,,multiple,,estuarine,,Unknown,,Juvenile/adult,,yes,Assessment of human health risk,Subtropical,,one,,,LR,
P_0426,Yes,,Multiple,2013,2014,,multiple,,Freshwater,,Unknown,,Mixed,,yes,"tissues distribution and human consumption
exposure",Temperate,,multiple,,,LR,
P_0427,Yes,,Multiple,2016,2018,,multiple,,Freshwater,,Unknown,,Mixed,,yes,"identify potential emission sources of PFASs, evaluate the exposure levels of individual PFASs to people",Temperate,,multiple,,,LR,
P_0428,No,,One,2003,2017,,one,,Marine,,Unknown,,Juvenile/adult,,yes,Suitability of specimen bank samples for pollutant assessment,Temperate,,multiple,,,,
P_0430,No,,Multiple,2008,2008,,one,,Marine,,Mixed,,Juvenile/adult,,yes,associations between circulating concentrations of THs and PFASs in adult female hooded seals and their nursing pups,Polar,,one,,,LR,
P_0431,No,,One,2016,2016,,multiple,,Terrestrial coastal,,Unknown,,Eggs/early development,,yes,"Comparison of Pops levels between species, potential risks of POPs on eggshell thickness and egg size",Mixed,,one,,,LR,
P_0433,Yes,,Multiple,2014,2014,,multiple,,Mixed,,Unknown,,Juvenile/adult,,yes,"Biomagnification and trophic transfer within the food chain, human risk assessment",Subtropical,,multiple,,,LR,
P_0434,Yes,,Multiple,2015,2016,,multiple,,Estuarine,,Unknown,,Juvenile/adult,,yes,Bioaccumulation of PFAS and spatial trends,Subtropical,,one,,,LR,
P_0435,Yes,,Multiple,2015,2015,,multiple,,Freshwater,,Unknown,,Juvenile/adult,,no,,Subtropical,,one,,,LR,
P_0436,Yes,,Multiple,2009,2014,,one,,Terrestrial inland,,Unknown,,Eggs/early development,,yes,Spatial variability of PFAS concentrations,Temperate,,one,,,LR,
P_0437,Yes,,Multiple,1993,2005,,multiple,,Marine,,Mixed,,Juvenile/adult,,yes,Comparison of PFAA concentrations in paired blubber samples to determine if this lipid rich tissue could be used as a blank tissue for PFAA concentrations in each animal,Temperate,,multiple,,,LR,
P_0438,Yes,,Multiple,2014,2014,,one,,Freshwater,,Mixed,,Juvenile/adult,,yes,Tissue Distribution and Bioaccumulation of PFAS,Subtropical,,multiple,,,LR,
P_0440,Yes,,Multiple,2016,2016,,one,,Estuarine,,Female,,Juvenile/adult,,yes,PFAS burden in correlation with fecundity,Subtropical,,multiple,,,LR,
P_0441,Yes,,Multiple,2016,2016,,one,,Terrestrial inland,,Mixed,,Juvenile/adult,,yes,"Relationships of PFAS exposure with fluorochemical industrial activities, as well as sexand age-related differences",Mixed,,multiple,,,LR,
P_0442,Yes,,Multiple,2015,2015,,multiple,,Marine,,Unknown,,Juvenile/adult,,yes,Estimate potential health risks for local people consumption of PFAS-contaminated coral reef fish,tropical,,one,,,LR,
P_0445,No,,Multiple,2012,2013,,one,,Marine,,Female,,Juvenile/adult,,yes,Impact of pollutants on lipid metabolism,Polar,,one,,,,
P_0446,No,,Multiple,2010,2014,,one,,Terrestrial inland,,Unknown,,Juvenile/adult,,yes,"EROD activity, chromosomal damage, and oxidative stress in response to contaminants exposure",Temperate,,one,,,,
P_0447,,,,,,,,,,,,,,,,,,,,,Exclude,,
P_0448,Yes,,Multiple,2015,2015,,multiple,,Marine,,Unknown,,Juvenile/adult,,yes,"Spatial variation, human risk assessment",tropical,,multiple,,,,
P_0450,Yes,,Multiple,2015,2015,,one,,Freshwater,,Unknown,,Juvenile/adult,,yes,Human exposure from aligator meat,Subtropical,,one,,,,
P_0451,Yes,,Multiple,2014,2016,,one,,Freshwater,,Male,,Juvenile/adult,,yes,PFAs burden in relation to health status,Subtropical,,multiple,,,,
